ISO,Imports
FR,707276692
CN,2756386490
AE,208931469
US,507346120
GB,98607714
SE,412423559
TH,53717874
NL,538947806
SG,9056951
JP,126457384
IN,644661404
KR,369636295
IT,909058721
NO,105972957
DK,190856329
AU,22144963
AT,217636772
TW,476521778
CA,33732610
DE,1529534940
CR,42553
UA,50624425
SA,392638
LK,417834
ES,905385817
TR,1056741642
IE,111255178
MX,30346487
ID,30182691
MY,52884529
AF,15305
AI,4796
AL,2201623
PT,306452752
AO,52849
CZ,239913823
AR,3212902
BR,84643028
HR,7877818
SI,31928485
CH,105378414
XS,3859667
FI,298605173
HU,31902188
SK,62051853
VN,265983318
  ,322162999
PL,351579063
BE,675502690
RO,71206252
NA,33372
LV,12207094
LI,112420
EE,10564350
LU,81709702
BG,9562858
SL,1421513
BA,1129354
JO,221030
LT,29243064
IL,9971528
MK,9017107
JE,854114
PH,1208765
AZ,141617
BB,21707
BD,219625
EG,32100682
RU,33759545
HK,24118241
KZ,16361331
NE,69647
EC,113985
AM,2563085
BY,16261102
ZA,56373816
GR,69090048
PK,6419038
TN,24975505
MA,911912
GE,1511609
BI,992
IR,112010
SM,1974860
BH,18095138
BO,151744
BS,85957
ZW,5858361
CD,106372
CG,21932
KH,139535
NZ,4738530
CO,11515558
CI,36883
CL,2018358
NC,5728
CV,2950
CK,44834
OM,9642966
MO,81226
CC,46878
LR,30279
CY,728879
VC,1655
QA,543565
MT,418399
NU,53761
SY,21800
PF,2273
ST,2226
IS,1545813
MH,1626
VI,6355
SV,63419
TC,1097
CW,2157
TJ,912
FK,101259
XK,26588
SZ,21131
FO,143144
DM,8175
DZ,26669635
GL,12296
AG,86852
GI,30364
ER,5448
ET,12604
KI,3642
FJ,157339
ZM,776575
TT,35528
SH,1232
FM,3619
MU,45757
BQ,3826
ML,26008
GA,12443
GH,133377
GY,8798
KE,202004
NP,24415
IQ,86526
NR,23670
PE,49854
AW,13493
SX,1212
HT,1940
JM,3505
KW,28570
LB,75912
UZ,2079
LY,1022
ME,248346
MM,6609
MZ,46683
NG,83307
BL,4908
DO,1014
CM,14524
TL,1704
SN,242048
PN,2801
QV,5032687
SC,99363
KN,6962
BN,6048
UG,1185
SB,6372
NI,3918
MW,3786
UM,971
MV,7704
AS,1618
KY,4164
UY,151717
VG,165570
VE,29951
YY,52058497
